Track Name,Album Release Decade,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Artist Popularity,Track URI,Track Popularity
Please Don't Go,10s,"australian pop, pop soul",0.513,0.768,4.0,-4.868,0.0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,4.0,51,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,68
Lions in the Wild,10s,"dutch edm, edm, pop, pop dance, progressive house",0.504,0.847,7.0,-6.81,0.0,0.0442,0.00434,0.0,0.816,0.28,127.854,4.0,76,spotify:track:6F1kPSgdnlSzZRfskE9vaV,0
Never Be Like You,10s,"australian dance, australian electropop, australian indie, downtempo, edm, indietronica",0.494,0.559,0.0,-5.445,1.0,0.0565,0.436,0.0,0.164,0.264,119.247,4.0,72,spotify:track:12REd1n8PeiHHWOh066tpr,0
Treat You Better,10s,"canadian pop, pop, viral pop",0.45,0.825,10.0,-4.066,0.0,0.372,0.121,0.0,0.109,0.742,82.823,4.0,82,spotify:track:53B2XmmjJ9rriW1qciMBeX,0
Heathens,10s,"modern rock, pop, pov: indie, rock",0.732,0.396,4.0,-9.348,0.0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,4.0,82,spotify:track:6i0V12jOa3mr6uu4WYhUBr,82
Send My Love (To Your New Lover),10s,"british soul, pop, pop soul, uk pop",0.688,0.532,6.0,-8.361,0.0,0.0875,0.0356,3.08e-06,0.172,0.565,164.068,4.0,85,spotify:track:3KZcrZ36LW9RnChK1iIkth,0
When We Were Young,10s,"british soul, pop, pop soul, uk pop",0.377,0.595,3.0,-5.936,1.0,0.0489,0.303,0.0,0.095,0.264,144.464,4.0,85,spotify:track:0cj2joJcY6b4XSRfj2eZOl,0
Someone Like You,10s,"british soul, pop, pop soul, uk pop",0.554,0.321,9.0,-8.251,1.0,0.028,0.893,0.0,0.0996,0.288,135.047,4.0,85,spotify:track:6QPKYGnAW9QozVz2dSWqRg,0
Set Fire to the Rain,10s,"british soul, pop, pop soul, uk pop",0.603,0.67,2.0,-3.882,0.0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995,4.0,85,spotify:track:5PKWUDfQFtc5qqo8cs1gQp,0
Apologize,00s,"piano rock, pop",0.593,0.74,8.0,-6.12,1.0,0.0339,0.363,2.22e-05,0.102,0.502,118.008,4.0,83,spotify:track:1NrJYpdAi7uosDRPmSYrsG,70
Onnelliseksi,10s,"finnish dance pop, finnish hip hop",0.645,0.434,0.0,-7.791,1.0,0.0399,0.00187,0.00226,0.124,0.249,100.01,4.0,37,spotify:track:6hvNLxrHBdR1qzdrKasCPE,32
Chasing Cars,00s,"irish rock, modern rock, neo mellow, permanent wave, pop rock",0.563,0.592,9.0,-4.571,1.0,0.0276,0.209,5.08e-05,0.132,0.136,104.016,4.0,68,spotify:track:11bD1JtSjlIgKgZG2134DZ,2
Say Something,10s,"neo mellow, piano rock, pop rock, viral pop",0.407,0.147,2.0,-8.822,1.0,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3.0,60,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,72
Go Hard or Go Home,10s,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",0.651,0.741,4.0,-5.067,0.0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02,4.0,81,spotify:track:2QJnTfMpNG05KFf2E3gVIJ,57
Läikkyy,10s,"finnish dance pop, finnish hip hop, finnish pop",0.669,0.846,4.0,-3.976,0.0,0.156,0.15,0.0,0.154,0.793,150.014,4.0,28,spotify:track:1gou2U6ZcLKXLBC3MYVtEu,31
Älä herätä mua unesta,10s,"finnish dance pop, finnish hip hop, finnish pop",0.656,0.675,1.0,-7.455,1.0,0.0457,0.119,0.0,0.0925,0.353,126.889,4.0,51,spotify:track:02RaNOB5CIiXAhgvLE6Xp0,48
Spaceman,10s,"finnish dance pop, finnish hip hop, finnish pop",0.737,0.95,6.0,-2.522,0.0,0.0611,0.017,0.0,0.233,0.968,127.0,4.0,40,spotify:track:3PfG2rMOU9HglycfbIC4yM,35
Only One,10s,"finnish dance pop, finnish hip hop, finnish pop",0.578,0.839,2.0,-3.806,1.0,0.0755,0.000649,0.0,0.0708,0.509,121.995,4.0,40,spotify:track:1ttYNQjND5nBtUnpNMlLQQ,24
Come & Get It,10s,"pop, post-teen pop",0.349,0.795,7.0,-4.133,0.0,0.0758,0.0102,0.000138,0.0812,0.542,148.985,1.0,82,spotify:track:5U2m76qAMdr3gXI0g6ptlG,0
Wherever I Go,10s,"piano rock, pop",0.543,0.691,10.0,-6.403,0.0,0.0425,0.107,0.0,0.218,0.335,100.014,4.0,83,spotify:track:7kUtJKGZzLNgIkq1Galkt0,0
Heatwave (feat. Akon),10s,"deep euro house, deep house, edm, german dance, pop dance, tropical house",0.702,0.82,7.0,-4.323,0.0,0.063,0.196,0.0,0.156,0.52,107.936,4.0,77,spotify:track:2KMJ5CoxY4ECG9TZyNWmpv,58
Hubba Bubba,10s,"finnish dance pop, finnish hip hop, finnish pop, suomi rock",0.68,0.847,11.0,-6.439,1.0,0.0353,0.000755,0.0,0.159,0.792,136.039,4.0,48,spotify:track:2hQVEDz4hG8RGmzSPKTDrT,0
I'm In Control,10s,"electropop, house, uk dance",0.734,0.847,11.0,-3.713,0.0,0.0346,0.355,0.000144,0.154,0.673,104.013,4.0,61,spotify:track:16NOHRm0OEjmg55OZAxVmV,0
Arcade - Radio Edit,10s,"belgian edm, pop dance",0.565,0.957,3.0,-4.167,0.0,0.0723,0.00923,0.69,0.293,0.175,127.953,4.0,72,spotify:track:7FKjWBgGgCGYoRRDIhp4bR,27
She Doesn't Mind,10s,"dance pop, dancehall, pop, pop rap",0.718,0.776,7.0,-5.208,0.0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,4.0,81,spotify:track:4odiyU3myG29Ld0wurMfE8,73
Satellites - Radio Edit,10s,progressive electro house,0.535,0.829,4.0,-4.371,1.0,0.0613,0.0713,2.7e-05,0.146,0.573,127.952,4.0,11,spotify:track:3peFUAm5l0kWIJXy7Q8GYP,0
Calling (Lose My Mind) - Radio Edit,10s,"dutch house, edm, electro house, pop dance, progressive electro house, progressive house",0.416,0.849,1.0,-4.909,0.0,0.0455,0.00864,0.000138,0.204,0.147,125.098,4.0,61,spotify:track:34NNeV9jfgNgaALgUr0u9V,0
I Just Had Sex,10s,"comedy rap, comic",0.621,0.802,6.0,-4.735,1.0,0.118,0.0235,0.0,0.108,0.819,167.976,4.0,57,spotify:track:1OmxpKVSvn0LGcM3SQS4OV,0
Angels Unite (Radio Edit),10s,,0.529,0.876,5.0,-5.649,1.0,0.0337,0.00102,1.92e-05,0.353,0.282,144.998,4.0,20,spotify:track:3UFoVEy7B2yqUMB21yyJm2,0
Gypsy Drop - Radio Edit,10s,,0.797,0.962,1.0,-4.239,1.0,0.0906,0.000359,0.767,0.0454,0.422,128.047,4.0,13,spotify:track:11xsm79HwpWV1C1lMXoVo9,29
Bigroom Blitz - Radio Mix,10s,"eurodance, german techno, hamburg electronic, happy hardcore",0.713,0.909,3.0,-4.274,1.0,0.0306,0.00303,0.000706,0.699,0.438,132.022,4.0,68,spotify:track:1Xcww2gldd5hN6WvGBsbFT,0
Satisfied (feat. VASSY) - Original Mix,10s,"classic hardstyle, dutch house, edm, electro house, euphoric hardstyle, melbourne bounce, pop dance, progressive electro house",0.611,0.941,0.0,-1.958,1.0,0.0491,0.00326,0.0205,0.345,0.589,128.002,4.0,62,spotify:track:6LU68pNqUguPOsjPIaJwo6,0
Gold Skies - Original Mix,10s,"dutch house, dutch trance, edm, electro house, pop dance, progressive electro house, progressive house",0.564,0.823,9.0,-6.316,0.0,0.046,0.00406,0.0716,0.684,0.221,128.018,4.0,48,spotify:track:4zXQSm5XIkcn5qtmtbwO9O,0
Love Louder - Style Of Eye Remix,10s,pop edm,0.56,0.854,1.0,-4.878,1.0,0.0669,0.00901,1.07e-06,0.506,0.274,126.001,4.0,66,spotify:track:2WEiz65hkQPlThgncVH34T,24
Forbidden Voices,10s,"dutch edm, edm, pop, pop dance, progressive house",0.534,0.711,10.0,-5.927,0.0,0.0368,0.05,0.0031,0.135,0.3,128.102,4.0,76,spotify:track:2BF1X5nkYYSb0AUTRaGkDm,0
Salsa Tequila,10s,nordic house,0.661,0.906,6.0,-3.352,1.0,0.125,0.131,4.1e-05,0.0743,0.638,127.966,4.0,38,spotify:track:4WRjqQ6sx5qIcddaIxNTfF,0
All I Ever Wanted - Radio Edit,00s,eurodance,0.645,0.984,4.0,-7.051,1.0,0.0508,0.164,0.00701,0.164,0.553,144.954,4.0,61,spotify:track:3uoqlATyV5IWOhy0LBF7k1,41
Memories (feat. Kid Cudi),10s,"big room, dance pop, edm, pop, pop dance",0.561,0.87,8.0,-6.103,1.0,0.343,0.0015,2.82e-06,0.246,0.498,129.98,4.0,88,spotify:track:4iMu9le3ytNO3tvgVpQANx,50
