,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track Popularity Cat
7761,0.584,0.677,-6.487,0.389,0.0228,0.0,0.726,0.656,169.817,0
7762,0.364,0.553,-10.016,0.0298,0.184,0.000396,0.188,0.311,175.739,0
7763,0.306,0.186,-15.043,0.037,0.965,1.96e-06,0.107,0.211,90.05,0
7764,0.443,0.608,-10.936,0.0464,0.425,0.178,0.0822,0.112,146.019,0
7765,0.623,0.675,-5.719,0.0319,0.0951,0.649,0.395,0.427,90.951,0
7766,0.901,0.374,-12.433,0.0616,0.00479,1.02e-06,0.15,0.77,110.771,0
7767,0.589,0.576,-11.915,0.0261,0.248,3.19e-06,0.168,0.74,145.354,0
7768,0.284,0.826,-5.811,0.0385,0.0581,0.0,0.0334,0.968,203.616,0
7769,0.518,0.949,-2.893,0.169,0.0805,0.0,0.559,0.656,200.026,0
7770,0.713,0.488,-9.257,0.0378,0.659,6.73e-05,0.75,0.574,133.312,0
7771,0.768,0.632,-11.702,0.158,0.318,0.489,0.234,0.352,81.852,0
7772,0.555,0.604,-9.808,0.0492,0.427,0.861,0.111,0.283,123.039,0
